C1,-39.62,19.05,270,10µF,0805
C2,-42.93,25.27,90,1µF,0603
C3,-37.06,30.35,0,1µF,0603
C4,-16.89,23.37,0,0.1uF,0603
C5,-17.25,26.47,90,0.1uF,0603
C6,-13.82,21.74,0,1.5pF,0603
C7,-16.36,20.85,270,0.75pF,0603
C8,-28.83,28.58,90,0.1uF,0603
C9,-34.29,19.05,270,0.1uF,0603
C10,-43.43,29.59,270,1uF,0603
ESP,-22.86,24.13,180,ESP32-PICO-D4-LONG,PICO-D4-QFN48-LONG
L1,-11.28,20.85,270,7.5nH,0603
PWR,-30.86,29.59,0,GREEN,CHIPLED_0603
R1,-40.89,30.35,0,10k,0603
R2,-33.40,30.35,0,1K,0603
RST,-46.23,28.32,90,KMR2,BTN_KMR2_4.6X2.8
U1,-39.41,25.83,270,AMS1117_33,SOT89
U2,-17.91,17.78,270,MUN5214DW1,DUAL_NPN_SC70-6
U3,-30.81,18.69,270,CP2104,QFN24_4MM_SMSC_LONG
U4,-31.37,24.51,270,LY68L6400SLIT,SOP8
